booth_no,total_votes_2016,DMK_2016,AIADMK_2016,PMK_2016,DMK_2021,candidate_2_NAJUHAB JAMAS YTRAP,candidate_3_LAKKAM IHDEEN MAIAM,candidate_4_RALIMAT IHCTAK MAAN,AIADMK_2021,candidate_6_ARTTENUM MAGAZAK LAK,candidate_7_OITARENEG SELPOEP WE,candidate_8_EDNEPEDNI TN,candidate_9_EDNEPEDNI TN,candidate_10_EDNEPEDNI TN,candidate_11_EDNEPEDNI TN,candidate_12_EDNEPEDNI TN,candidate_13_EDNEPEDNI TN,candidate_14_EDNEPEDNI TN,candidate_15_EDNEPEDNI TN,candidate_16_EDNEPEDNI TN,total_votes_2021,AIADMK_share_2016,AIADMK_share_2021,AIADMK_swing,DMK_share_2016,DMK_share_2021,DMK_swing,turnout_change
221,798,405,325,2,237,2,36,39,132,13,0,0,0,2,0,1,0,1,2,6,471,40.73,28.03,-12.7,50.75,50.32,-0.43,-40.98
222,382,165,138,2,296,1,13,54,391,7,2,3,1,2,2,3,0,0,2,14,791,36.13,49.43,13.3,43.19,37.42,-5.77,107.07
223,535,187,300,18,203,0,61,41,183,6,0,1,0,0,0,0,0,0,0,14,509,56.07,35.95,-20.12,34.95,39.88,4.93,-4.86
224,598,219,251,64,110,0,32,26,250,13,0,0,0,0,2,0,0,0,0,2,435,41.97,57.47,15.5,36.62,25.29,-11.33,-27.26
225,448,205,157,49,230,2,57,46,232,18,1,2,5,0,0,0,1,2,0,9,605,35.04,38.35,3.31,45.76,38.02,-7.74,35.04
226,648,326,233,46,259,0,53,26,227,10,1,7,1,2,0,2,1,1,0,15,605,35.96,37.52,1.56,50.31,42.81,-7.5,-6.64
227,715,291,287,102,125,3,7,15,425,2,1,0,0,0,1,5,0,0,0,8,592,40.14,71.79,31.65,40.7,21.11,-19.59,-17.2
228,809,316,387,31,406,6,11,248,68,6,2,27,0,1,0,0,4,0,0,8,787,47.84,8.64,-39.2,39.06,51.59,12.53,-2.72
229,826,291,429,50,596,2,4,78,130,4,1,17,0,0,0,0,1,1,2,5,841,51.94,15.46,-36.48,35.23,70.87,35.64,1.82
230,501,279,147,24,313,2,6,21,102,2,0,2,0,1,0,0,0,1,0,4,454,29.34,22.47,-6.87,55.69,68.94,13.25,-9.38
231,672,380,220,2,239,4,13,40,248,4,1,2,0,1,0,2,0,0,1,7,562,32.74,44.13,11.39,56.55,42.53,-14.02,-16.37
232,334,204,59,16,311,2,13,57,309,12,0,2,0,1,0,0,0,0,0,1,708,17.66,43.64,25.98,61.08,43.93,-17.15,111.98
233,615,170,173,242,261,0,39,38,168,5,0,1,1,2,0,0,0,0,0,5,520,28.13,32.31,4.18,27.64,50.19,22.55,-15.45
234,562,242,166,78,458,3,17,54,202,7,1,1,0,0,1,1,0,1,0,3,749,29.54,26.97,-2.57,43.06,61.15,18.09,33.27
235,621,309,228,45,323,2,30,41,406,9,1,1,1,0,0,1,1,0,0,10,826,36.71,49.15,12.44,49.76,39.1,-10.66,33.01
236,929,358,330,207,434,3,49,73,363,10,0,1,1,0,2,0,4,0,2,8,950,35.52,38.21,2.69,38.54,45.68,7.14,2.26
237,982,441,341,159,383,5,22,80,448,7,6,15,0,2,1,1,0,2,0,9,981,34.73,45.67,10.94,44.91,39.04,-5.87,-0.1
238,662,183,160,255,314,1,9,23,164,1,0,17,0,0,0,0,0,0,0,4,533,24.17,30.77,6.6,27.64,58.91,31.27,-19.49
239,598,166,183,202,452,3,14,35,155,5,0,13,0,0,0,0,1,1,2,9,690,30.6,22.46,-8.14,27.76,65.51,37.75,15.38
