booth,category,winner,winner_votes,runner_up,runner_votes,margin,margin_pct
160,STRONG AIADMK,AIADMK,262,DMK,143,119,29.38
161 (M),LEAN AIADMK,AIADMK,236,DMK,195,41,9.51
161 A (W),LEAN AIADMK,AIADMK,227,DMK,197,30,7.08
162,SWING AIADMK,AIADMK,196,DMK,187,9,2.35
163,STRONG AIADMK,AIADMK,360,DMK,231,129,21.83
164,SWING AIADMK,AIADMK,285,DMK,264,21,3.83
165,LEAN AIADMK,AIADMK,347,DMK,285,62,9.81
166,SWING DMK,DMK,263,AIADMK,261,2,0.38
167,STRONG AIADMK,AIADMK,438,DMK,262,176,25.14
168,LEAN AIADMK,AIADMK,366,DMK,319,47,6.86
169,STRONG DMK,DMK,363,AIADMK,252,111,18.05
170,LEAN DMK,DMK,338,AIADMK,282,56,9.03
171,STRONG DMK,DMK,464,AIADMK,168,296,46.84
172 (M),STRONG DMK,DMK,225,AIADMK,111,114,33.93
172 A (W),STRONG DMK,DMK,259,AIADMK,145,114,28.22
173 (M),LEAN AIADMK,AIADMK,146,DMK,124,22,8.15
173 A(W),STRONG AIADMK,AIADMK,260,DMK,202,58,12.55
174,STRONG AIADMK,AIADMK,388,DMK,275,113,17.04
175,LEAN AIADMK,AIADMK,280,DMK,245,35,6.67
176,STRONG AIADMK,AIADMK,416,DMK,290,126,17.85
177,STRONG DMK,DMK,420,AIADMK,229,191,29.43
178,SWING AIADMK,AIADMK,282,DMK,259,23,4.25
179,STRONG AIADMK,AIADMK,425,DMK,187,238,38.89
180,STRONG AIADMK,AIADMK,332,DMK,217,115,20.95
181,STRONG DMK,DMK,294,AIADMK,108,186,46.27
182,STRONG DMK,DMK,303,AIADMK,218,85,16.31
183,STRONG DMK,DMK,282,AIADMK,219,63,12.57
184,STRONG DMK,DMK,390,AIADMK,210,180,30.0
185,SWING DMK,DMK,310,AIADMK,295,15,2.48
186,LEAN AIADMK,AIADMK,384,DMK,342,42,5.79
187,STRONG DMK,DMK,435,AIADMK,211,224,34.67
188 (M),STRONG DMK,DMK,256,AIADMK,124,132,34.74
188 A (W),STRONG DMK,DMK,258,AIADMK,149,109,26.78
189,LEAN AIADMK,AIADMK,400,DMK,340,60,8.11
190,SWING AIADMK,AIADMK,359,DMK,356,3,0.42
191,STRONG AIADMK,AIADMK,384,DMK,190,194,33.8
192,LEAN DMK,DMK,144,AIADMK,122,22,8.27
193 (M),STRONG AIADMK,AIADMK,243,DMK,171,72,17.39
193 A(W),STRONG AIADMK,AIADMK,274,DMK,147,127,30.17
194,STRONG AIADMK,AIADMK,341,DMK,216,125,22.44
195,STRONG AIADMK,AIADMK,402,DMK,219,183,29.47
196,STRONG AIADMK,AIADMK,380,DMK,291,89,13.26
197,LEAN AIADMK,AIADMK,319,DMK,264,55,9.43
198,SWING DMK,DMK,342,AIADMK,339,3,0.44
199 (M),LEAN DMK,DMK,196,AIADMK,169,27,7.4
199 A(W),SWING AIADMK,AIADMK,225,DMK,207,18,4.17
200,STRONG DMK,DMK,285,AIADMK,151,134,30.73
201,SWING DMK,DMK,321,AIADMK,298,23,3.72
202M,STRONG DMK,DMK,256,AIADMK,193,63,14.03
202A(W),LEAN AIADMK,AIADMK,232,DMK,206,26,5.94
203M,STRONG DMK,DMK,242,AIADMK,179,63,14.96
203A(W),SWING DMK,DMK,237,AIADMK,234,3,0.64
204,SWING AIADMK,AIADMK,303,DMK,277,26,4.48
205,STRONG DMK,DMK,243,AIADMK,114,129,36.13
206M,STRONG DMK,DMK,271,AIADMK,151,120,28.44
206A(W),STRONG DMK,DMK,279,AIADMK,146,133,31.29
207,STRONG DMK,DMK,370,AIADMK,205,165,28.7
208,STRONG DMK,DMK,357,AIADMK,174,183,34.46
209 (M),STRONG DMK,DMK,257,AIADMK,179,78,17.89
209 A (W),SWING DMK,DMK,223,AIADMK,207,16,3.72
210,STRONG AIADMK,AIADMK,326,DMK,246,80,13.99
211,STRONG DMK,DMK,321,AIADMK,247,74,13.03
212,STRONG DMK,DMK,346,AIADMK,241,105,17.89
213,SWING DMK,DMK,324,AIADMK,309,15,2.37
214,LEAN DMK,DMK,375,AIADMK,336,39,5.49
215,STRONG DMK,DMK,392,AIADMK,187,205,35.41
216,STRONG DMK,DMK,320,AIADMK,173,147,29.82
217,STRONG DMK,DMK,286,AIADMK,165,121,26.83
218,STRONG DMK,DMK,275,AIADMK,174,101,22.49
219,LEAN DMK,DMK,364,AIADMK,327,37,5.35
220,STRONG AIADMK,AIADMK,508,DMK,212,296,41.11
221 (M),STRONG AIADMK,AIADMK,276,DMK,123,153,38.35
221 A (W),STRONG AIADMK,AIADMK,227,DMK,156,71,18.54
222 (M),STRONG DMK,DMK,247,AIADMK,147,100,25.38
222 A (W),STRONG DMK,DMK,247,AIADMK,163,84,20.49
223,STRONG AIADMK,AIADMK,369,DMK,230,139,23.21
224,LEAN AIADMK,AIADMK,160,DMK,133,27,9.22
225 (M),LEAN DMK,DMK,216,AIADMK,183,33,8.27
225 A (W),LEAN DMK,DMK,186,AIADMK,157,29,8.45
226,STRONG AIADMK,AIADMK,380,DMK,270,110,16.92
227,STRONG DMK,DMK,266,AIADMK,210,56,11.76
228,SWING AIADMK,AIADMK,295,DMK,276,19,3.33
229,STRONG DMK,DMK,339,AIADMK,194,145,27.2
230,STRONG AIADMK,AIADMK,291,DMK,231,60,11.49
231,STRONG AIADMK,AIADMK,293,DMK,238,55,10.36
232,STRONG DMK,DMK,295,AIADMK,235,60,11.32
233 (M),STRONG AIADMK,AIADMK,207,DMK,156,51,14.05
233 A (w),LEAN AIADMK,AIADMK,192,DMK,168,24,6.67
234,STRONG DMK,DMK,370,AIADMK,231,139,23.13
235,STRONG DMK,DMK,254,AIADMK,199,55,12.14
236,LEAN AIADMK,AIADMK,275,DMK,226,49,9.78
237,STRONG DMK,DMK,331,AIADMK,246,85,14.73
238,LEAN AIADMK,AIADMK,326,DMK,290,36,5.84
239,SWING DMK,DMK,363,AIADMK,340,23,3.27
240,STRONG DMK,DMK,419,AIADMK,170,249,42.28
241,STRONG AIADMK,AIADMK,431,DMK,277,154,21.75
242,LEAN AIADMK,AIADMK,412,DMK,351,61,7.99
243,SWING DMK,DMK,338,AIADMK,318,20,3.05
244,STRONG DMK,DMK,453,AIADMK,233,220,32.07
245 (M),SWING AIADMK,AIADMK,200,DMK,194,6,1.52
245 A (W),SWING DMK,DMK,217,AIADMK,202,15,3.58
246 (M),LEAN AIADMK,AIADMK,265,DMK,238,27,5.37
246 A (W),STRONG AIADMK,AIADMK,282,DMK,206,76,15.57
247,STRONG DMK,DMK,341,AIADMK,255,86,14.43
248,STRONG DMK,DMK,328,AIADMK,196,132,25.19
249,STRONG AIADMK,AIADMK,315,DMK,231,84,15.38
250 (M),SWING AIADMK,AIADMK,208,DMK,194,14,3.48
250 A (W),SWING AIADMK,AIADMK,204,DMK,185,19,4.88
251,STRONG DMK,DMK,308,AIADMK,196,112,22.22
252,LEAN AIADMK,AIADMK,231,DMK,203,28,6.45
253 (M),LEAN DMK,DMK,195,AIADMK,167,28,7.73
253 A(W),LEAN DMK,DMK,202,AIADMK,182,20,5.21
254,STRONG AIADMK,AIADMK,440,DMK,341,99,12.68
255,LEAN DMK,DMK,363,AIADMK,301,62,9.34
256,STRONG AIADMK,AIADMK,528,DMK,214,314,42.32
257,STRONG AIADMK,AIADMK,303,DMK,209,94,18.36
258,LEAN DMK,DMK,258,AIADMK,216,42,8.86
259,STRONG DMK,DMK,166,AIADMK,133,33,11.04
260,STRONG AIADMK,AIADMK,535,DMK,246,289,37.0
261,LEAN DMK,DMK,257,AIADMK,230,27,5.54
262,SWING DMK,DMK,192,AIADMK,187,5,1.32
263,STRONG DMK,DMK,415,AIADMK,301,114,15.92
264,SWING AIADMK,AIADMK,358,DMK,334,24,3.47
265,SWING AIADMK,AIADMK,401,DMK,363,38,4.97
266,SWING AIADMK,AIADMK,234,DMK,228,6,1.3
267,STRONG DMK,DMK,420,AIADMK,204,216,34.62
268,SWING AIADMK,AIADMK,253,DMK,229,24,4.98
269,STRONG DMK,DMK,442,AIADMK,269,173,24.33
270,LEAN AIADMK,AIADMK,236,DMK,207,29,6.55
271,STRONG AIADMK,AIADMK,337,DMK,189,148,28.14
272,LEAN AIADMK,AIADMK,233,DMK,198,35,8.12
273,STRONG AIADMK,AIADMK,461,DMK,244,217,30.78
274,STRONG DMK,DMK,287,AIADMK,230,57,11.03
275,STRONG DMK,DMK,336,AIADMK,131,205,43.9
276,STRONG DMK,DMK,475,AIADMK,261,214,29.08
277,STRONG DMK,DMK,258,AIADMK,189,69,15.44
278,STRONG DMK,DMK,325,AIADMK,248,77,13.44
279,LEAN DMK,DMK,294,AIADMK,245,49,9.09
280,STRONG AIADMK,AIADMK,387,DMK,179,208,36.75
281,STRONG AIADMK,AIADMK,381,DMK,122,259,51.49
282 (M),STRONG DMK,DMK,275,AIADMK,222,53,10.66
282 A (W),STRONG DMK,DMK,259,AIADMK,175,84,19.35
283 (M),SWING DMK,DMK,206,AIADMK,187,19,4.83
283 A(W),SWING AIADMK,AIADMK,217,DMK,207,10,2.36
284,LEAN AIADMK,AIADMK,315,DMK,263,52,9.0
285,STRONG DMK,DMK,367,AIADMK,295,72,10.88
286,STRONG DMK,DMK,218,AIADMK,148,70,19.13
287,STRONG DMK,DMK,266,AIADMK,160,106,24.88
288,STRONG DMK,DMK,453,AIADMK,314,139,18.12
